Filename,Label,L_mean,A_mean,B_mean,ITA_Angle,Fitzpatrick
100.jpg,Normal,188.69,142.95,139.11,65.15,Type_I
1000.jpg,Normal,111.12,144.58,128.72,-83.62,Type_VI
10005.jpg,Normal,58.29,141.11,137.03,-71.6,Type_VI
10006.jpg,Normal,81.43,143.82,144.78,-47.11,Type_VI
10010.jpg,Normal,78.08,129.73,136.72,-65.77,Type_VI
10065.jpg,Normal,148.81,143.21,152.1,19.12,Type_IV
10096.jpg,Normal,92.9,157.52,150.91,-30.64,Type_VI
10100.jpg,Normal,183.0,140.05,144.46,52.91,Type_II
10101.jpg,Normal,87.38,128.0,128.0,-90.0,Type_VI
10111.jpg,Normal,176.42,147.59,160.37,30.65,Type_III
10124.jpg,Normal,196.86,140.03,140.42,65.45,Type_I
10161.jpg,Normal,112.26,128.0,128.0,-90.0,Type_VI
10163.jpg,Normal,66.85,139.92,133.72,-76.47,Type_VI
10165.jpg,Normal,114.52,143.12,144.48,-17.16,Type_V
10167.jpg,Normal,178.41,141.33,144.82,49.88,Type_II
10168.jpg,Normal,109.27,139.95,137.27,-37.64,Type_VI
10172.jpg,Normal,176.5,140.17,146.12,46.68,Type_II
10178.jpg,Normal,173.28,135.47,153.8,34.83,Type_III
10244.jpg,Normal,130.2,142.68,142.62,4.14,Type_V
10273.jpg,Normal,175.36,145.74,183.55,18.67,Type_IV
10274.jpg,Normal,146.31,158.85,156.4,14.56,Type_IV
10277.jpg,Normal,107.7,146.37,149.12,-20.18,Type_V
10278.jpg,Normal,177.94,157.31,153.02,38.32,Type_III
10279.jpg,Normal,184.94,138.41,144.85,53.2,Type_II
10285.jpg,Normal,101.44,146.14,142.43,-35.32,Type_VI
10290.jpg,Normal,94.95,137.2,139.3,-48.48,Type_VI
10291.jpg,Normal,139.62,154.59,156.64,9.43,Type_V
10295.jpg,Normal,80.58,135.05,137.54,-62.59,Type_VI
10376.jpg,Normal,178.44,143.75,115.6,-58.18,Type_VI
10380.jpg,Normal,120.08,135.49,141.6,-12.07,Type_V
10388.jpg,Normal,130.24,144.93,149.17,2.91,Type_V
10522.jpg,Normal,103.85,145.08,139.79,-38.19,Type_VI
10527.jpg,Normal,47.0,140.83,137.25,-73.66,Type_VI
10531.jpg,Normal,112.26,126.75,134.88,-40.98,Type_VI
10533.jpg,Normal,95.97,144.59,147.02,-33.04,Type_VI
10535.jpg,Normal,45.63,131.2,137.64,-73.28,Type_VI
10538.jpg,Normal,119.09,146.02,141.44,-13.78,Type_V
10542.jpg,Normal,206.68,137.95,137.01,73.81,Type_I
10546.jpg,Normal,133.74,143.06,144.41,8.48,Type_V
10633.jpg,Normal,144.97,143.63,140.86,28.04,Type_III
1064.jpg,Normal,142.86,140.55,147.38,17.26,Type_IV
10645.jpg,Normal,114.16,143.19,140.32,-23.01,Type_V
10647.jpg,Normal,40.5,135.11,133.49,-80.86,Type_VI
10648.jpg,Normal,167.73,132.23,144.64,43.47,Type_II
10657.jpg,Normal,144.18,141.08,148.15,17.99,Type_IV
10658.jpg,Normal,124.57,143.06,146.13,-3.62,Type_V
10684.jpg,Normal,100.33,129.14,130.02,-79.27,Type_VI
10709.jpg,Normal,79.48,153.57,145.05,-47.84,Type_VI
10735.jpg,Normal,59.5,136.2,134.68,-75.94,Type_VI
10738.jpg,Normal,142.0,146.0,148.34,15.61,Type_IV
10745.jpg,Normal,152.21,138.95,138.45,42.83,Type_II
10753.jpg,Normal,163.66,141.56,144.33,40.96,Type_III
10837.jpg,Normal,165.84,150.67,151.77,32.32,Type_III
1084.jpg,Normal,160.52,142.28,138.92,49.85,Type_II
10846.jpg,Normal,100.98,133.26,138.35,-45.14,Type_VI
10971.jpg,Normal,108.22,146.62,148.41,-20.33,Type_V
1098.jpg,Normal,168.74,137.84,143.85,45.58,Type_II
10980.jpg,Normal,149.18,142.38,149.59,21.49,Type_IV
10981.jpg,Normal,109.91,145.98,139.09,-31.88,Type_VI
10983.jpg,Normal,136.43,140.71,136.77,21.76,Type_IV
11074.jpg,Normal,128.45,135.89,125.87,-9.87,Type_V
11080.jpg,Normal,112.72,148.37,139.18,-27.39,Type_V
11084.jpg,Normal,108.01,144.38,142.63,-27.58,Type_V
11088.jpg,Normal,131.93,147.28,140.76,7.75,Type_V
1115.jpg,Normal,127.04,147.7,150.28,-0.47,Type_V
11156.jpg,Normal,90.31,137.85,136.16,-60.78,Type_VI
11162.jpg,Normal,157.32,140.34,150.41,27.56,Type_IV
11163.jpg,Normal,182.51,150.06,168.18,28.23,Type_III
11164.jpg,Normal,175.64,139.99,143.67,50.3,Type_II
1117.jpg,Normal,192.54,144.94,146.62,53.87,Type_II
11280.jpg,Normal,89.16,152.77,155.4,-28.75,Type_V
11284.jpg,Normal,167.35,134.19,169.4,20.68,Type_IV
11286.jpg,Normal,157.53,137.83,143.36,37.48,Type_III
11295.jpg,Normal,131.62,155.91,152.18,3.83,Type_V
11370.jpg,Normal,136.49,137.57,138.04,19.34,Type_IV
11439.jpg,Normal,132.76,137.38,133.76,19.71,Type_IV
1144.jpg,Normal,163.9,140.98,142.8,43.96,Type_II
11451.jpg,Normal,143.09,151.19,167.05,8.9,Type_V
11452.jpg,Normal,123.33,128.0,128.0,-90.0,Type_VI
11453.jpg,Normal,106.45,149.51,159.56,-14.66,Type_V
11455.jpg,Normal,156.71,148.84,146.06,32.39,Type_III
11459.jpg,Normal,158.32,155.91,153.59,25.28,Type_IV
11534.jpg,Normal,150.55,144.88,181.88,9.53,Type_V
11538.jpg,Normal,173.06,157.49,163.97,26.41,Type_IV
11540.jpg,Normal,220.21,138.91,133.19,81.87,Type_I
11541.jpg,Normal,105.59,161.37,170.11,-11.53,Type_V
11544.jpg,Normal,142.37,143.86,148.55,15.84,Type_IV
11655.jpg,Normal,107.81,149.99,152.14,-17.73,Type_V
11662.jpg,Normal,122.54,148.21,150.25,-5.0,Type_V
11664.jpg,Normal,118.11,140.76,130.08,-60.51,Type_VI
11666.jpg,Normal,75.42,137.39,142.08,-55.41,Type_VI
11668.jpg,Normal,139.59,141.93,138.8,23.71,Type_IV
11669.jpg,Normal,111.01,143.67,149.31,-16.89,Type_V
11675.jpg,Normal,156.68,139.78,143.9,35.75,Type_III
11680.jpg,Normal,84.42,146.15,136.44,-63.44,Type_VI
11760.jpg,Normal,85.53,153.64,139.25,-55.65,Type_VI
11768.jpg,Normal,90.3,144.77,149.15,-34.6,Type_VI
11776.jpg,Normal,129.92,142.15,141.79,3.94,Type_V
11778.jpg,Normal,132.22,141.08,127.31,-69.6,Type_VI
1186.jpg,Normal,62.98,139.39,140.91,-62.97,Type_VI
11864.jpg,Normal,176.82,154.79,179.04,20.75,Type_IV
11868.jpg,Normal,149.18,137.22,139.26,37.05,Type_III
11877.jpg,Normal,126.47,145.89,151.96,-0.97,Type_V
11879.jpg,Normal,110.46,139.71,129.8,-74.91,Type_VI
1188.jpg,Normal,138.73,141.91,156.61,8.75,Type_V
11882.jpg,Normal,124.28,141.74,144.38,-4.41,Type_V
11953.jpg,Normal,145.68,151.62,149.13,18.65,Type_IV
11957.jpg,Normal,131.12,140.09,140.16,6.66,Type_V
1196.jpg,Normal,25.82,137.23,132.61,-83.4,Type_VI
11965.jpg,Normal,146.44,142.45,141.36,29.06,Type_III
1197.jpg,Normal,185.46,141.46,150.81,44.9,Type_II
12032.jpg,Normal,40.45,141.1,133.75,-80.44,Type_VI
12035.jpg,Normal,179.22,135.39,141.02,57.31,Type_I
12037.jpg,Normal,174.42,144.91,143.12,50.59,Type_II
1204.jpg,Normal,177.08,147.55,151.86,39.17,Type_III
12040.jpg,Normal,177.54,146.24,133.54,74.23,Type_I
12043.jpg,Normal,150.97,136.97,145.66,27.53,Type_IV
12044.jpg,Normal,239.7,131.63,131.2,85.85,Type_I
12048.jpg,Normal,96.9,139.25,155.49,-23.58,Type_V
12049.jpg,Normal,88.31,134.41,134.94,-65.69,Type_VI
12051.jpg,Normal,88.59,144.8,144.52,-42.72,Type_VI
12054.jpg,Normal,94.22,143.73,147.76,-33.44,Type_VI
12056.jpg,Normal,114.01,146.18,150.36,-13.31,Type_V
12140.jpg,Normal,81.71,131.19,137.32,-62.58,Type_VI
12144.jpg,Normal,121.73,140.99,151.47,-5.51,Type_V
12287.jpg,Normal,93.27,136.73,143.16,-41.53,Type_VI
123.jpg,Normal,129.38,146.61,150.93,1.85,Type_V
12403.jpg,Normal,109.62,134.47,152.36,-16.06,Type_V
12407.jpg,Normal,172.32,141.33,153.3,34.79,Type_III
12412.jpg,Normal,157.37,131.18,123.83,-70.43,Type_VI
12415.jpg,Normal,144.13,143.7,136.48,37.55,Type_III
12498.jpg,Normal,97.53,144.74,144.67,-35.2,Type_VI
1250.jpg,Normal,78.7,145.74,152.74,-37.73,Type_VI
12508.jpg,Normal,114.34,140.67,142.66,-19.39,Type_V
12600.jpg,Normal,82.88,141.95,151.86,-36.26,Type_VI
12601.jpg,Normal,94.78,144.68,148.83,-31.63,Type_VI
12612.jpg,Normal,126.79,139.16,147.53,-0.82,Type_V
12615.jpg,Normal,55.49,135.18,135.87,-74.44,Type_VI
12616.jpg,Normal,62.79,134.0,132.91,-79.05,Type_VI
12865.jpg,Normal,50.43,152.01,151.86,-51.71,Type_VI
12878.jpg,Normal,79.86,142.56,143.82,-49.75,Type_VI
12895.jpg,Normal,78.48,135.51,100.26,34.72,Type_III
12999.jpg,Normal,53.69,134.67,129.05,-87.93,Type_VI
130.jpg,Normal,145.85,150.38,160.56,12.46,Type_IV
1300.jpg,Normal,74.37,133.08,131.8,-79.68,Type_VI
13007.jpg,Normal,138.67,140.35,137.4,25.0,Type_IV
13009.jpg,Normal,78.71,138.48,150.98,-39.78,Type_VI
1301.jpg,Normal,142.54,149.33,143.95,20.29,Type_IV
13148.jpg,Normal,157.73,136.62,140.71,43.02,Type_II
13149.jpg,Normal,52.09,138.19,141.55,-65.38,Type_VI
1315.jpg,Normal,97.42,140.13,146.82,-32.07,Type_VI
13150.jpg,Normal,61.14,136.51,129.95,-85.71,Type_VI
13154.jpg,Normal,96.53,140.13,143.34,-38.37,Type_VI
13158.jpg,Normal,76.33,160.28,136.85,-66.2,Type_VI
13164.jpg,Normal,152.63,140.85,138.82,42.32,Type_II
1317.jpg,Normal,127.46,145.92,152.2,-0.04,Type_V
13170.jpg,Normal,185.97,148.13,158.16,37.25,Type_III
13175.jpg,Normal,133.57,155.44,151.02,5.9,Type_V
13253.jpg,Normal,131.84,147.33,148.28,4.8,Type_V
13256.jpg,Normal,139.32,142.12,135.52,31.65,Type_III
13262.jpg,Normal,183.43,144.86,152.38,41.97,Type_II
13263.jpg,Normal,146.44,128.07,134.93,46.96,Type_II
13264.jpg,Normal,127.48,149.02,149.65,-0.03,Type_V
13265.jpg,Normal,103.79,151.29,156.91,-17.83,Type_V
13272.jpg,Normal,189.05,142.27,146.32,52.8,Type_II
13273.jpg,Normal,88.28,146.03,128.17,-89.38,Type_VI
