Filename,Label,L_mean,A_mean,B_mean,ITA_Angle,Fitzpatrick,Used_ROIs
100.jpg,Normal,167.91,142.32,139.73,53.49,Type_II,R_Cheek+L_Cheek+Forehead
1000.jpg,Normal,108.6,140.72,128.69,-84.67,Type_VI,R_Cheek+L_Cheek+Forehead
10005.jpg,Normal,45.6,138.66,136.98,-74.39,Type_VI,R_Cheek+Forehead
10006.jpg,Normal,75.37,141.59,143.67,-52.52,Type_VI,R_Cheek+L_Cheek+Forehead
10010.jpg,Normal,56.87,129.33,135.75,-74.36,Type_VI,R_Cheek+Forehead
10065.jpg,Normal,116.4,140.35,147.74,-12.44,Type_V,R_Cheek+L_Cheek+Forehead
10096.jpg,Normal,88.51,155.95,150.38,-34.34,Type_VI,R_Cheek+Forehead
10100.jpg,Normal,181.53,138.3,143.59,53.66,Type_II,R_Cheek+Forehead
10101.jpg,Normal,77.99,128.0,128.0,-90.0,Type_VI,R_Cheek+L_Cheek+Forehead
10111.jpg,Normal,147.4,146.96,156.76,15.18,Type_IV,R_Cheek+L_Cheek+Forehead
10124.jpg,Normal,172.07,140.43,141.24,52.86,Type_II,R_Cheek+L_Cheek+Forehead
10161.jpg,Normal,93.4,128.0,128.0,-90.0,Type_VI,R_Cheek+L_Cheek+Forehead
10163.jpg,Normal,53.51,140.56,132.87,-80.48,Type_VI,L_Cheek+Forehead
10165.jpg,Normal,100.29,142.0,142.37,-36.6,Type_VI,L_Cheek+Forehead
10167.jpg,Normal,151.0,144.75,146.1,26.98,Type_IV,R_Cheek+L_Cheek+Forehead
10168.jpg,Normal,95.14,137.96,135.72,-58.69,Type_VI,R_Cheek+L_Cheek+Forehead
10172.jpg,Normal,152.5,142.23,147.34,26.88,Type_IV,R_Cheek+L_Cheek+Forehead
10178.jpg,Normal,167.34,135.84,152.7,32.31,Type_III,R_Cheek+Forehead
10182.jpg,Normal,73.38,140.41,146.51,-48.91,Type_VI,R_Cheek+Forehead
10244.jpg,Normal,118.89,141.17,142.07,-13.49,Type_V,R_Cheek+L_Cheek+Forehead
10271.jpg,Normal,81.68,134.35,137.78,-61.44,Type_VI,R_Cheek+L_Cheek+Forehead
10273.jpg,Normal,147.19,147.31,176.01,9.14,Type_V,R_Cheek+L_Cheek+Forehead
10274.jpg,Normal,131.2,157.03,156.11,2.96,Type_V,R_Cheek+L_Cheek+Forehead
10277.jpg,Normal,86.19,145.67,145.41,-42.93,Type_VI,L_Cheek+Forehead
10278.jpg,Normal,145.53,154.9,148.17,19.32,Type_IV,R_Cheek+L_Cheek+Forehead
10279.jpg,Normal,167.66,137.47,143.13,46.14,Type_II,R_Cheek+L_Cheek+Forehead
10281.jpg,Normal,117.49,149.88,154.68,-8.37,Type_V,R_Cheek+L_Cheek+Forehead
10285.jpg,Normal,103.19,143.08,141.22,-35.79,Type_VI,R_Cheek+L_Cheek+Forehead
10290.jpg,Normal,81.76,135.59,138.94,-58.63,Type_VI,R_Cheek+L_Cheek+Forehead
10291.jpg,Normal,129.6,152.89,154.42,1.78,Type_V,R_Cheek+L_Cheek+Forehead
10295.jpg,Normal,67.63,133.73,134.87,-73.68,Type_VI,R_Cheek+L_Cheek+Forehead
10376.jpg,Normal,144.47,144.6,119.45,-37.88,Type_VI,R_Cheek+L_Cheek+Forehead
10380.jpg,Normal,111.68,134.88,140.12,-27.12,Type_V,R_Cheek+Forehead
10384.jpg,Normal,71.17,132.76,142.7,-56.35,Type_VI,R_Cheek+L_Cheek+Forehead
10388.jpg,Normal,127.52,142.76,147.5,0.02,Type_V,R_Cheek+L_Cheek+Forehead
10389.jpg,Normal,149.04,144.4,152.7,18.88,Type_IV,R_Cheek+L_Cheek+Forehead
10522.jpg,Normal,97.46,142.63,140.4,-43.53,Type_VI,R_Cheek+L_Cheek+Forehead
10527.jpg,Normal,46.85,139.75,134.15,-78.99,Type_VI,R_Cheek+L_Cheek+Forehead
10531.jpg,Normal,91.99,127.02,133.69,-67.77,Type_VI,R_Cheek+L_Cheek+Forehead
10533.jpg,Normal,77.35,144.46,143.93,-50.99,Type_VI,R_Cheek+L_Cheek+Forehead
10535.jpg,Normal,47.46,131.26,138.39,-71.68,Type_VI,R_Cheek+L_Cheek+Forehead
10538.jpg,Normal,114.66,146.47,141.63,-20.28,Type_V,R_Cheek+L_Cheek+Forehead
10542.jpg,Normal,182.6,139.06,137.44,66.4,Type_I,R_Cheek+L_Cheek+Forehead
